名称,省份,位置,音阶,调式,协和度,曲折度,节奏变化,平均音长,0,1,2,3,4,5,6,7,8,9,10,11,12
太阳落山沙又沙,江苏省,徐州市,五声,宫调,0.434920635,2.70477223,0.840561104,2.133333333,0.032258065,0.258064516,0,0.161290323,0,0.161290323,0,0,0.225806452,0,0.161290323,0,0
好一对鸳鸯不成双,江苏省,如皋市,五声,角调,0.405555556,2.912300979,0.639375492,1.191489362,0,0.127659574,0,0.276595745,0,0.319148936,0,0,0.212765957,0,0.063829787,0,0
妇女解放歌,江苏省,铜山县,六声,徵调,0.375301205,4.247365045,0.550973165,2.301369863,0,0.054794521,0,0.232876712,0,0.178082192,0,0,0.191780822,0,0.260273973,0,0.082191781
姐似竹子哥似松,江苏省,如皋市,五声,羽调,0.385820896,2.960179486,0.789200463,2.029850746,0.082191781,0.178082192,0,0.178082192,0,0.150684932,0,0,0.205479452,0,0.205479452,0,0
姐家门前一棵柳,江苏省,南京市,五声,宫调,0.372105263,3.273714634,0.702488138,2.594594595,0,0.22972973,0,0.135135135,0,0.175675676,0,0,0.175675676,0,0.283783784,0,0
孟姜女(二),江苏省,淮安市,五声,徵调,0.28852459,3.014945227,0.927384291,1.55,0,0.225,0,0.2,0,0.2,0,0,0.2,0,0.175,0,0
孟姜女(五),江苏省,苏州市,六声,徵调,0.29147541,2.748088629,1.038636313,1.54,0,0.22,0,0.17,0,0.18,0,0,0.22,0,0.2,0,0.01
小人小山歌,江苏省,昆山市,五声,徵调,0.236666667,1.866723402,0.433012702,3.368421053,0,0.315789474,0,0.263157895,0,0.263157895,0,0,0.052631579,0,0.105263158,0,0
小媳妇是浮萍草,江苏省,南通市,五声,羽调,0.540298507,9.694443862,0.652135831,2.775510204,0,0.224489796,0,0.244897959,0,0.204081633,0,0,0,0,0.326530612,0,0
小宝宝困觉觉,江苏省,无锡市,五声,羽调,0.269047619,3.073113968,0.859317128,4,0.1,0.166666667,0,0.183333333,0,0.316666667,0,0,0.166666667,0,0.066666667,0,0
小寡妇上坟（一）,江苏省,宝应县,五声,宫调,0.444578313,2.967427192,0.552770798,1.787234043,0,0.212765957,0,0.127659574,0,0.127659574,0,0,0.340425532,0,0.191489362,0,0
